id,first_name,last_name,email,phone_number,is_verified
4059899,Umar,Marbun,asirwanda18@yahoo.com,+62 (058) 096 0378,no
7679657,Garan,Marbun,ardiantodewi@hotmail.com,+62-005-913-2883,yes
6998737,Balangga,Zulaika,charyanti@hotmail.com,+62 (0880) 210 8300,yes
2207477,Azalea,Namaga,deviaryani@hotmail.com,0892240729,yes
3356656,Ilyas,Maheswara,himawantarihoran@gmail.com,+62-34-367-6535,no
7955940,Sidiq,Halim,bakiantothamrin@gmail.com,+62 (406) 632-0320,yes
3512195,Gading,Wahyudin,bala99@yahoo.com,+62-54-079-6223,yes
4232804,Hadi,Salahudin,dmangunsong@gmail.com,+62 (0162) 870 9627,yes
3436953,Yulia,Agustina,halimahprabu@gmail.com,+62-11-765-3956,no
9744248,Prima,Rajata,lnainggolan@hotmail.com,+62 (152) 396 4951,yes
4066571,Lutfan,Haryanto,fhardiansyah@yahoo.com,(0513) 354 5370,no
9802535,Edi,Marbun,ypratama@gmail.com,080 575 6624,yes
1665525,Tania,Winarsih,artantolatupono@yahoo.com,+62-266-912-2486,yes
2289882,Kasiran,Yolanda,nababannardi@hotmail.com,+62-058-886-8371,no
1318966,Ibun,Marbun,yhakim@yahoo.com,(0370) 534 5364,no
5383629,Prayoga,Tamba,ikin37@hotmail.com,+62 (34) 916 0454,yes
4061729,Dagel,Uwais,cyolanda@hotmail.com,+62 (039) 933-7665,no
3604299,Irwan,Pudjiastuti,ybudiyanto@hotmail.com,(0544) 618 0667,no
7092078,Yulia,Budiman,irawanluwar@yahoo.com,+62 (0398) 775 7384,yes
3889819,Lega,Tamba,xfujiati@hotmail.com,+62 (043) 755 6858,yes
7653822,Ifa,Lazuardi,widyahasanah@hotmail.com,+62-0456-038-5486,yes
4318193,Vanesa,Mangunsong,cemani71@hotmail.com,+62-227-280-7148,no
4437319,Gangsa,Natsir,salwa01@gmail.com,+62 (86) 837-3349,no
9096296,Wirda,Situmorang,winarsihkayla@gmail.com,+62 (055) 095 6485,no
9770910,Dagel,Prabowo,voktaviani@hotmail.com,+62 (533) 824 9848,yes
5374592,Edison,Sitompul,lramadan@yahoo.com,+62 (0538) 436 3154,yes
1851171,Catur,Novitasari,nalar30@yahoo.com,0894789142,no
5062824,Cecep,Najmudin,wijayantiratna@yahoo.com,+62-000-571-5471,no
8853275,Yessi,Usada,waskitapaiman@yahoo.com,+62 (56) 569-0307,no
7781150,Irwan,Suartini,purwanto34@yahoo.com,+62 (089) 594 7551,yes
2255504,Lili,Sitorus,gastiutami@gmail.com,0867458220,no
5297306,Kamaria,Hidayanto,tnovitasari@gmail.com,+62 (0152) 778-9832,no
2874650,Ian,Nugroho,awidodo@hotmail.com,(0249) 376-5390,no
9740098,Luwar,Tarihoran,firmansyahraditya@gmail.com,+62 (93) 075-0924,yes
8254156,Jagaraga,Padmasari,mustofa80@gmail.com,(0905) 901-8533,yes
6246911,Banawi,Budiyanto,reksa62@hotmail.com,(0890) 815 2599,yes
7463094,Johan,Siregar,kasusra93@gmail.com,+62 (0324) 313-0893,yes
9636136,Saadat,Wasita,nrimawibisono@yahoo.com,(0599) 266 8867,yes
9537899,Novi,Wacana,mansuredi@hotmail.com,083 717 4077,no
7927340,Bagas,Thamrin,violetsuryono@gmail.com,+62 (0957) 644 2425,yes
7325339,Dasa,Tampubolon,astutidartono@gmail.com,+62 (0193) 006 4589,yes
7487177,Kemal,Usamah,prastutidarimin@yahoo.com,+62-110-369-9524,yes
8776133,Daliono,Riyanti,gmardhiyah@hotmail.com,+62 (0303) 197 3071,yes
3527858,Galak,Wibowo,nasyiahmaya@hotmail.com,+62 (0244) 452-0605,no
9006187,Cahyadi,Hasanah,prabowoheryanto@hotmail.com,+62 (066) 097 2665,no
7645972,Kasim,Sihombing,darsirahrahayu@yahoo.com,+62 (217) 374-6951,yes
2146364,Reza,Marbun,imayasari@hotmail.com,0802172380,yes
6866366,Humaira,Prasetyo,vhastuti@hotmail.com,+62-016-525-8150,yes
2263315,Restu,Salahudin,wadihariyah@hotmail.com,+62 (990) 045 4904,no
4168726,Mujur,Hidayat,napitupuluian@hotmail.com,+62 (838) 115 0267,yes
4619459,Febi,Oktaviani,vero95@hotmail.com,(0101) 375 3416,no
2961916,Harjo,Anggraini,nrimafirgantoro@gmail.com,0829127719,yes
5385489,Ratna,Jailani,fathonahmustofa@yahoo.com,0828161229,no
2034535,Raden,Dabukke,sarah31@gmail.com,(042) 186-7417,yes
4102070,Aisyah,Mandala,ajiono92@yahoo.com,+62 (014) 407 7506,yes
9045266,Mumpuni,Nurdiyanti,eminsiregar@hotmail.com,+62 (734) 051-1616,no
1587173,Harsana,Rajata,heryantopalastri@gmail.com,+62-069-798-1070,no
9835216,Prayitna,Hariyah,digdayawijaya@gmail.com,+62 (25) 324 3340,yes
6877988,Natalia,Hariyah,zwijaya@hotmail.com,+62 (0198) 796-6328,no
2492084,Tri,Andriani,nashiruddinhamima@yahoo.com,+62 (14) 859 3615,no
1257971,Kunthara,Narpati,wasisnovitasari@yahoo.com,+62-0535-302-7230,yes
9763140,Asman,Tamba,putu75@hotmail.com,+62 (0355) 507-4132,yes
1287602,Hamima,Purwanti,mahfud89@yahoo.com,+62 (0965) 778-8777,yes
4680368,Harsaya,Pranowo,latif04@yahoo.com,+62 (23) 812-3166,no
5611154,Ana,Mayasari,baktipurnawati@yahoo.com,+62 (107) 733 9175,yes
3688175,Amalia,Pradipta,teguhhutagalung@yahoo.com,+62 (037) 677 4813,yes
4393792,Harja,Prabowo,corneliahakim@gmail.com,085 219 0361,no
6499083,Balidin,Rahimah,suryatmiagus@hotmail.com,+62 (631) 073-9310,no
6711053,Mulya,Prasasta,esaefullah@gmail.com,+62 (119) 645-0352,no
2057024,Pranata,Hassanah,shassanah@yahoo.com,(0529) 776 5779,yes
3729527,Ismail,Puspita,lmandasari@hotmail.com,+62 (971) 618 3131,no
3516738,Azalea,Sihombing,asuryatmi@gmail.com,(060) 585-3817,no
3786209,Wasis,Andriani,leonugroho@hotmail.com,(040) 907 5962,no
3770083,Laras,Thamrin,tsiregar@yahoo.com,+62 (0985) 579-5108,no
5594254,Wawan,Nasyiah,mpradana@hotmail.com,083 038 5032,yes
5434881,Okta,Prastuti,firgantorolanjar@gmail.com,+62-65-219-6572,yes
8481686,Rama,Gunawan,fnababan@gmail.com,+62-026-456-5713,yes
3844744,Nrima,Waluyo,prasetyaharto@hotmail.com,+62 (683) 019 9418,yes
9327730,Eka,Wijaya,glaksmiwati@gmail.com,+62 (0781) 962 1381,no
1432715,Fitriani,Agustina,akusmawati@gmail.com,+62 (002) 131-0100,no
4998387,Slamet,Gunarto,kamidinusada@yahoo.com,0840446340,yes
8665198,Okto,Situmorang,xlaksmiwati@gmail.com,+62 (0921) 951 9260,yes
6430572,Jail,Rahmawati,yusufnatsir@gmail.com,(0046) 446-0716,no
8201728,Hesti,Napitupulu,eko20@hotmail.com,+62-006-620-3781,no
5697038,Caket,Rahayu,queen70@gmail.com,+62-555-130-5612,yes
2974503,Rini,Marpaung,lpudjiastuti@hotmail.com,087 264 9668,no
5728876,Zahra,Wibisono,oliva15@yahoo.com,+62 (83) 245 0192,yes
3416417,Paris,Usamah,harto31@gmail.com,(016) 835-8047,yes
2161565,Asman,Wibowo,butama@hotmail.com,(012) 604 0515,no
6561203,Kanda,Mayasari,rahmawatikadir@gmail.com,+62-801-380-9497,no
1260624,Catur,Natsir,tpangestu@gmail.com,+62-049-924-3823,yes
2983590,Mutia,Prasetyo,genta44@gmail.com,+62 (41) 155 0242,yes
4920354,Koko,Iswahyudi,gamblangtarihoran@gmail.com,+62 (084) 253-0605,yes
5710712,Baktiono,Gunawan,dnajmudin@hotmail.com,+62 (0824) 134-4907,no
9725069,Samsul,Firmansyah,tampubolonviolet@gmail.com,(075) 734 0287,yes
2256784,Rahayu,Hariyah,yulia18@yahoo.com,+62 (0469) 607 4985,yes
1441597,Jindra,Kusumo,ssirait@hotmail.com,(0931) 737 9000,no
9698795,Jumari,Halim,martani24@hotmail.com,+62 (558) 380 7517,yes
4625903,Vanya,Gunawan,hutasoitaditya@hotmail.com,080 633 4386,no
