id,first_name,last_name,email,phone_number,is_verified,dt_user_creation
5977126,Jelita,Saptono,osantoso@yahoo.com,+62 (020) 054 3037,yes,2024-01-01 11:14:01
7898268,Asmadi,Santoso,agustinaabyasa@hotmail.com,+62 (0644) 110 9826,yes,2024-01-01 12:55:12
1572750,Heru,Dabukke,jmelani@yahoo.com,(0130) 406-3883,no,2024-01-01 16:23:30
3904182,Harsana,Januar,rendy98@gmail.com,+62-82-221-4166,no,2024-01-01 04:38:28
1565475,Elvina,Gunawan,nashiruddinajiono@yahoo.com,+62 (0105) 764 9506,no,2024-01-01 10:51:31
9190387,Purwadi,Salahudin,yogahardiansyah@yahoo.com,088 701 5161,yes,2024-01-01 07:05:27
4614393,Cahyo,Farida,zalindra16@gmail.com,(044) 634 9276,yes,2024-01-01 01:00:06
7470590,Karta,Wijaya,kurniawanpuput@yahoo.com,+62 (067) 914-7179,yes,2024-01-01 18:51:07
1849092,Tari,Yuliarti,cawisonoyuliarti@yahoo.com,(0223) 396-3001,yes,2024-01-01 00:19:03
9490323,Margana,Iswahyudi,xlestari@hotmail.com,+62 (35) 620-6696,yes,2024-01-01 03:29:15
9187881,Sari,Waskita,wibowopadma@hotmail.com,(037) 642 9627,yes,2024-01-01 05:57:56
9701100,Edison,Budiyanto,asmandamanik@yahoo.com,+62 (066) 854 7090,no,2024-01-01 07:39:14
4294984,Lanang,Sitompul,edisongunarto@yahoo.com,+62-032-506-2657,yes,2024-01-01 07:09:23
7011894,Gaman,Kuswoyo,kasiyahdabukke@yahoo.com,+62 (306) 590 3659,yes,2024-01-01 00:41:58
3725030,Saka,Rajasa,arsipatra62@gmail.com,(005) 837-8270,no,2024-01-01 13:54:07
4015441,Heru,Hutasoit,cawuksusanti@hotmail.com,+62 (59) 958-4215,yes,2024-01-01 07:15:45
5717586,Cecep,Prasetya,bagiyayulianti@yahoo.com,+62 (031) 317-2825,no,2024-01-01 02:45:50
1794229,Simon,Agustina,pratiwiempluk@gmail.com,+62-0309-941-7233,yes,2024-01-01 10:49:15
2210000,Ibrani,Januar,prima18@yahoo.com,+62 (084) 729 6211,yes,2024-01-01 13:36:45
7243793,Rafi,Wacana,wulanpudjiastuti@gmail.com,+62-822-432-5403,yes,2024-01-01 17:58:17
2651524,Vinsen,Laksita,samosirelon@hotmail.com,(0183) 388 6054,no,2023-12-31 22:40:07
9444680,Wira,Halimah,among07@hotmail.com,+62 (057) 566-5496,yes,2024-01-01 12:41:11
2393555,Gatot,Simanjuntak,isuwarno@gmail.com,+62 (0355) 997 4611,no,2024-01-01 07:40:18
6234034,Rafid,Mahendra,xjanuar@gmail.com,+62 (452) 941-6609,no,2024-01-01 18:03:48
3703203,Harja,Melani,mandalacalista@gmail.com,+62-0522-925-5059,yes,2024-01-01 00:46:32
3905860,Amalia,Pratiwi,umayanugroho@gmail.com,+62 (36) 679-5545,no,2024-01-01 03:55:55
2113093,Wakiman,Anggraini,ilyas27@gmail.com,(0496) 445-3555,yes,2024-01-01 02:26:42
2065198,Jais,Wasita,zulaikairnanto@gmail.com,+62 (0781) 944-4337,no,2024-01-01 16:08:57
9514456,Yance,Anggraini,jono06@gmail.com,+62 (0340) 281 2461,no,2024-01-01 05:38:30
3729063,Panca,Prasetya,kfarida@gmail.com,082 390 2878,yes,2024-01-01 13:57:27
8176980,Yunita,Pratama,kusada@hotmail.com,+62 (0527) 529-6102,no,2024-01-01 08:50:37
6794567,Jayadi,Mulyani,parismegantara@yahoo.com,087 540 2612,yes,2024-01-01 12:38:17
3710530,Raina,Tamba,ulvasusanti@yahoo.com,+62-043-232-9777,no,2024-01-01 03:26:40
8405609,Sidiq,Maheswara,hartana98@hotmail.com,082 746 1784,yes,2024-01-01 05:10:08
8952856,Hairyanto,Utami,wacanasatya@gmail.com,+62 (0835) 784-0016,no,2024-01-01 15:51:54
7787823,Amalia,Mandala,bakijan67@hotmail.com,+62 (94) 476 1219,no,2024-01-01 20:38:09
4620956,Silvia,Wijayanti,jprasasta@gmail.com,+62 (394) 608 6028,yes,2024-01-01 12:37:51
7962314,Gandewa,Kuswoyo,siti23@gmail.com,+62 (362) 558-1726,no,2023-12-31 23:32:14
4696083,Galiono,Waskita,waluyo51@yahoo.com,(055) 212-2246,yes,2024-01-01 03:46:52
2319026,Hardana,Wacana,wirda80@hotmail.com,+62-046-539-3054,yes,2024-01-01 16:07:37
9160089,Novi,Widodo,krajasa@gmail.com,+62-072-012-0234,no,2024-01-01 15:48:26
8852173,Ghani,Pangestu,nurdiyantilembah@yahoo.com,+62 (037) 014-7569,yes,2024-01-01 01:53:33
3592967,Hartana,Siregar,rahman03@gmail.com,+62 (089) 397 6900,no,2024-01-01 20:15:08
3513847,Jarwadi,Narpati,unggulsitumorang@hotmail.com,+62 (477) 510-1920,no,2024-01-01 19:08:50
8183609,Bakijan,Halimah,dhakim@yahoo.com,(051) 584 1318,yes,2024-01-01 07:18:54
4299271,Luluh,Hakim,nainggolanvera@yahoo.com,0892969540,yes,2024-01-01 16:34:40
2752890,Martana,Dongoran,febi68@gmail.com,+62 (089) 289 1911,no,2024-01-01 02:24:33
3277636,Naradi,Wastuti,bkurniawan@hotmail.com,+62 (43) 634 8445,no,2024-01-01 13:18:43
2348677,Cemani,Sirait,jaryani@gmail.com,+62 (17) 461-6241,no,2024-01-01 07:39:48
3797397,Parman,Winarno,aris99@yahoo.com,+62 (0088) 602 4722,yes,2024-01-01 20:43:24
7265557,Slamet,Habibi,bakiono14@yahoo.com,080 633 7458,no,2024-01-01 16:54:54
5701323,Hasna,Padmasari,kamilapranowo@yahoo.com,+62 (012) 080 5065,no,2024-01-01 20:06:27
4532476,Ifa,Suartini,rprasasta@hotmail.com,0834668639,no,2024-01-01 18:01:12
4909543,Rahmi,Sihotang,claksmiwati@hotmail.com,+62-046-223-0427,yes,2024-01-01 18:46:31
1360321,Nalar,Waluyo,zaenabzulkarnain@yahoo.com,+62 (51) 452-7223,yes,2024-01-01 04:14:56
6257735,Najam,Nasyidah,nashiruddinkezia@gmail.com,+62 (0725) 878-1376,yes,2024-01-01 03:01:05
6763872,Mujur,Hariyah,jhalim@hotmail.com,+62-062-219-0161,yes,2023-12-31 22:32:40
5014808,Viman,Sihotang,utamagalak@gmail.com,+62-072-325-0434,yes,2024-01-01 02:42:19
