payment_id,send_at,payment_method,account_number,payment_status,transaction_id
FP40649,2022-02-15 04:29:50,BCA,077561925,Failed,FT868787288
FP19385,2022-03-09 21:39:57,Danamon,032768608,Cancelled,FT394509148
FP42822,2023-12-31 07:37:09,Danamon,062938356,Failed,FT661403293
FP05924,2022-06-11 19:19:05,BNI,102548101,Failed,FT097835251
FP15471,2023-02-04 13:43:51,Jenius,116755252,Success,FT515419953
FP67836,2023-05-18 21:04:09,BSI,104403613,Success,FT024492224
FP12366,2023-04-12 17:57:40,Digibank,056690817,Cancelled,FT811715259
FP19845,2022-11-12 12:51:44,CIMB,107788597,Success,FT825307092
FP95665,2023-06-04 01:54:48,CIMB,120868672,Cancelled,FT400198659
FP53940,2023-08-20 16:06:30,Digibank,033930435,Failed,FT064025167
FP77620,2022-02-16 20:49:52,Muamalat,038780965,Failed,FT726342302
FP95302,2023-05-25 14:32:03,Danamon,012410837,Success,FT039418852
FP76456,2023-09-18 01:51:43,Jenius,102824485,Success,FT211335710
FP29052,2023-06-21 19:09:24,Permata,059081562,Failed,FT969245442
FP16609,2023-05-07 11:26:46,Permata,111748280,Cancelled,FT157151884
FP98998,2022-11-10 20:53:52,Digibank,083395033,Failed,FT560729290
FP18495,2023-03-14 21:31:21,Jenius,054281927,Failed,FT949052908
FP93605,2022-06-20 10:24:37,BNI,072712656,Cancelled,FT503104923
FP00380,2022-04-06 07:23:15,Jenius,121769932,Success,FT669661471
FP18522,2022-02-17 12:24:03,BSI,067226186,Failed,FT946488288
FP13036,2023-07-13 01:48:03,Danamon,057044970,Failed,FT798591432
FP99837,2023-06-24 05:54:07,Digibank,049775024,Failed,FT381752314
FP02711,2022-02-05 15:54:51,Muamalat,094956788,Success,FT473729530
FP89980,2022-01-24 06:04:10,Mandiri,041897023,Failed,FT392508665
FP64433,2022-06-29 15:39:50,BSI,059707587,Success,FT117495166
FP20955,2022-10-15 06:50:47,Digibank,103436759,Cancelled,FT310744320
FP04399,2023-02-05 07:22:06,BNI,011443782,Cancelled,FT555970329
FP61109,2022-05-16 05:13:47,Digibank,110640981,Cancelled,FT406550532
FP82313,2022-09-17 21:37:34,Jenius,063167485,Failed,FT721891411
FP79917,2022-10-18 12:58:46,Mandiri,016687873,Success,FT048074362
FP38030,2022-08-07 07:26:00,Jenius,058977444,Success,FT196760940
FP71038,2023-10-15 22:42:47,Mandiri,020030982,Cancelled,FT532907416
FP05192,2022-03-23 19:49:58,Muamalat,105032847,Cancelled,FT692938345
FP67206,2023-09-12 05:02:46,Mandiri,091293787,Failed,FT083428220
FP37754,2022-06-13 01:53:08,Muamalat,019170277,Failed,FT033209058
