payment_id,send_at,payment_method,account_number,payment_status,transaction_id
FP12935,2022-03-15 01:21:19,Digibank,065198517,Success,FT321241261
FP15524,2022-06-16 05:02:01,Muamalat,098702378,Cancelled,FT460964418
FP22045,2023-08-04 05:09:36,BRI,087988080,Failed,FT830677539
FP20439,2023-01-23 07:10:10,Muamalat,095784205,Cancelled,FT463163869
FP13395,2023-03-01 21:40:02,Permata,062093770,Cancelled,FT921958909
FP40051,2023-03-12 17:09:21,Permata,076940259,Cancelled,FT326498716
FP39966,2023-11-14 18:51:08,BRI,115955749,Failed,FT014857056
FP60908,2023-11-04 12:26:47,Mandiri,080010117,Failed,FT249209336
FP17919,2022-11-13 18:30:08,Muamalat,115043282,Success,FT154749575
FP52741,2023-11-21 02:01:56,BSI,074936715,Success,FT115455251
FP24706,2023-07-08 07:36:49,BCA,114435969,Failed,FT010990321
FP19343,2022-11-23 13:45:05,Muamalat,065974281,Success,FT745559186
FP33970,2022-02-05 20:10:35,BSI,052247879,Success,FT566338359
FP39579,2023-12-27 21:56:39,BSI,016712531,Failed,FT285828723
FP95630,2022-06-28 20:17:46,BNI,084575933,Cancelled,FT359239197
FP92563,2022-07-31 21:54:48,Jenius,072636266,Success,FT239533030
FP33157,2023-02-14 23:33:06,BSI,084978802,Failed,FT530567155
FP82839,2023-04-02 16:19:37,BNI,062379957,Success,FT311607588
FP94788,2023-11-06 12:29:40,Danamon,109532534,Cancelled,FT146638401
FP26235,2022-05-24 16:29:33,Jenius,079929714,Failed,FT331471367
FP04726,2023-04-09 10:22:45,BCA,122985757,Cancelled,FT562138519
FP36992,2023-12-12 08:54:59,BCA,041246593,Cancelled,FT457924656
FP15877,2023-02-20 11:21:33,Digibank,120189733,Cancelled,FT199602721
FP59417,2023-03-27 02:36:50,Mandiri,111249611,Failed,FT896884595
FP12622,2023-11-21 15:46:19,Digibank,110358480,Cancelled,FT303813680
FP14231,2023-03-06 01:31:10,BSI,033033772,Cancelled,FT282581082
FP74506,2023-04-03 19:44:17,Permata,039985293,Cancelled,FT937002411
FP42261,2022-12-20 05:05:02,Digibank,084850959,Failed,FT629780574
FP93698,2023-08-02 03:12:44,BRI,125344997,Cancelled,FT701822624
FP84549,2022-11-26 10:10:30,BSI,014518096,Cancelled,FT127631429
FP39248,2022-11-20 14:39:57,BCA,119902044,Cancelled,FT104475595
FP07704,2022-07-09 22:03:17,Danamon,065289170,Cancelled,FT531220784
FP80044,2023-01-17 21:03:53,BRI,019609670,Failed,FT248879796
FP17917,2023-03-24 06:36:07,BRI,096086261,Failed,FT207282385
FP30740,2022-10-09 13:31:57,CIMB,093820637,Cancelled,FT769711408
FP79443,2023-06-07 17:50:22,BRI,018906280,Success,FT979869376
FP76583,2023-06-13 01:23:40,Digibank,086914822,Failed,FT405847369
FP69345,2023-11-14 17:54:37,Digibank,016851311,Cancelled,FT289414196
FP06665,2022-03-21 16:09:48,Danamon,017959076,Success,FT903058914
FP15550,2022-04-03 11:57:07,CIMB,033421368,Failed,FT482196808
FP89136,2023-02-10 08:44:58,Danamon,078300978,Success,FT012325216
FP35844,2022-04-10 14:48:07,Mandiri,024948821,Failed,FT653867271
FP18081,2023-10-21 23:41:06,BRI,115881321,Success,FT529229194
FP12222,2023-12-12 08:37:42,BCA,069060751,Failed,FT939110346
FP39661,2023-07-04 02:12:01,BSI,028451712,Cancelled,FT538961295
FP37945,2023-12-31 18:24:32,Mandiri,029635346,Failed,FT895186741
FP84187,2023-12-10 03:07:33,BNI,077561718,Failed,FT215620867
FP75729,2022-07-29 02:31:35,Muamalat,093029713,Success,FT767043600
FP29972,2022-02-23 20:28:56,Permata,063596917,Cancelled,FT438037820
FP45319,2023-01-14 01:16:13,Mandiri,042593148,Failed,FT768674344
FP92562,2022-12-11 20:21:18,BNI,066296298,Failed,FT173931260
FP43906,2023-07-03 09:05:24,Jenius,029855142,Cancelled,FT900933956
FP42115,2023-12-12 08:41:13,BCA,096222274,Success,FT432736227
FP20894,2023-02-04 02:38:41,Permata,072263684,Success,FT792841919
FP49944,2022-02-24 05:20:51,BRI,026263517,Failed,FT219313744
FP55352,2023-12-29 09:54:00,Danamon,092711048,Cancelled,FT371017821
FP39416,2023-11-06 13:18:44,BCA,090234132,Cancelled,FT404540533
FP77338,2023-07-15 19:47:23,Digibank,056658781,Success,FT958225415
FP79043,2023-05-19 19:16:39,Digibank,050806979,Failed,FT988520942
FP89979,2022-12-03 09:28:53,BNI,062202309,Failed,FT507370253
FP11466,2023-04-29 00:54:55,Mandiri,072960084,Failed,FT212191929
FP91843,2022-10-21 04:14:38,BSI,119866850,Failed,FT191902973
FP65609,2022-08-14 13:00:42,Jenius,068541475,Success,FT720556645
FP14798,2022-05-08 11:59:16,Jenius,036684322,Failed,FT038432338
FP60453,2023-09-28 00:07:39,BRI,041132115,Success,FT522983648
FP00532,2023-07-04 20:03:39,Danamon,069813827,Success,FT509627564
FP21504,2022-06-03 04:54:12,Digibank,059169109,Success,FT440861877
FP49863,2023-12-06 17:14:49,Danamon,038559581,Success,FT396081926
FP74020,2023-01-27 18:30:49,BRI,030316450,Cancelled,FT977032966
FP22494,2023-07-23 22:40:00,BSI,083030068,Success,FT824644877
FP71281,2022-10-03 16:11:42,BRI,015640662,Cancelled,FT188008499
FP30898,2022-02-14 05:12:46,BRI,010780019,Cancelled,FT177453487
FP68339,2023-02-17 09:30:02,Digibank,118127516,Failed,FT983868658
FP47188,2023-10-07 00:03:23,BNI,065424236,Success,FT234101497
FP44463,2023-07-31 16:05:33,Danamon,062114730,Failed,FT051638543
FP29946,2023-09-14 16:39:15,Permata,066719830,Cancelled,FT351302206
FP77544,2023-05-31 01:45:49,Danamon,092561201,Failed,FT358957574
FP74598,2022-07-09 08:00:55,Permata,102563775,Failed,FT701866307
FP00588,2023-07-18 12:55:56,Mandiri,019602648,Success,FT538336163
FP37744,2022-09-13 15:07:36,Permata,125587178,Success,FT513525175
FP88926,2022-08-28 01:44:58,Jenius,090068586,Failed,FT271135064
FP02709,2023-02-01 01:38:23,Jenius,015305127,Failed,FT325980012
FP45710,2022-12-18 03:22:01,Danamon,065026757,Success,FT875813351
FP76185,2022-01-20 05:26:34,Mandiri,059814645,Failed,FT973773714
FP06141,2023-09-14 04:45:07,Muamalat,055067467,Cancelled,FT702328599
FP66326,2023-08-05 00:49:59,BRI,046891891,Failed,FT740674834
FP60445,2023-08-21 12:04:43,Jenius,066596626,Success,FT306628025
FP96020,2022-03-22 05:23:24,BCA,040827175,Failed,FT875864345
FP96899,2023-07-09 03:51:57,Danamon,068743529,Cancelled,FT066964942
FP16984,2023-06-03 10:19:51,BNI,021925274,Cancelled,FT573995705
FP40426,2022-04-26 21:16:02,Jenius,102144903,Failed,FT148960587
FP33964,2023-07-12 20:39:48,Digibank,046535393,Cancelled,FT311526656
FP11021,2022-02-23 17:35:46,Danamon,050329430,Failed,FT311317121
FP41069,2023-03-26 04:05:20,Muamalat,095359601,Failed,FT411664668
FP22368,2022-11-02 21:32:00,Muamalat,087748466,Cancelled,FT226538370
FP89844,2022-03-24 00:29:44,BCA,127625711,Failed,FT378637616
FP45116,2023-12-19 09:12:29,Digibank,024351502,Failed,FT088690255
FP31053,2022-04-06 07:23:00,Mandiri,067670208,Success,FT602684241
FP79228,2022-03-19 06:12:36,Permata,053944825,Failed,FT231773968
FP72140,2022-10-27 21:58:14,BCA,038321463,Cancelled,FT138749591
FP55890,2023-11-24 16:54:11,Permata,100669804,Success,FT698700895
FP65326,2023-01-12 02:50:47,Danamon,062395481,Success,FT294912731
FP71562,2023-10-25 23:43:51,CIMB,031084901,Cancelled,FT669765332
FP13186,2023-11-24 02:41:08,CIMB,105015563,Cancelled,FT551056779
FP48942,2023-06-25 05:05:37,BRI,075266866,Success,FT452107353
FP19573,2023-12-02 14:18:56,CIMB,092258190,Failed,FT023603735
FP95677,2022-10-31 07:33:03,Mandiri,020429690,Cancelled,FT795272046
FP32169,2023-12-27 16:55:42,Permata,041527403,Failed,FT458055256
FP29878,2023-11-05 08:13:26,CIMB,012836550,Success,FT221554569
FP00831,2023-11-08 02:41:51,Mandiri,050660364,Failed,FT798864956
FP32355,2022-06-22 21:51:29,BSI,098259041,Success,FT116671125
FP57388,2022-06-16 16:33:39,BNI,061496349,Failed,FT163106857
FP73875,2022-10-02 22:43:25,Mandiri,046081135,Cancelled,FT311319473
FP66994,2023-03-07 21:53:39,Digibank,074337916,Failed,FT174514194
