transaction_id,created_at,recipient_bank,account_number,amount,unique_code,transaction_status,admin_fee,user_id
FT777417351,2023-10-17 17:08:19,LinkAja,111412943,478000.0,211.0,Need Confirmation,0,1352128
FT573501530,2023-06-16 17:16:52,Dana,069949607,3429000.0,96.0,Processed,1500,7834572
FT002830056,2023-06-09 22:49:57,Permata,082054692,2854000.0,233.0,Need Confirmation,1500,3710530
FT636616891,2022-01-27 15:57:24,LinkAja,025348925,1223000.0,168.0,Processed,1500,1565475
FT559516799,2023-10-26 23:00:39,Ovo,048821461,4948000.0,438.0,Cancelled,0,4294984
FT825742281,2023-11-07 23:47:59,Permata,050678864,4966000.0,561.0,Failed,1500,2398427
FT943354365,2023-04-26 22:38:31,BNI,015724892,867000.0,583.0,Success,0,3458256
FT137855765,2022-12-05 10:48:07,BCA,013443638,1694000.0,249.0,Failed,1500,3304371
FT612043878,2023-11-16 06:30:44,Seabank,092053269,1884000.0,819.0,Cancelled,1500,6257735
FT660023404,2022-05-08 18:38:56,BCA,112159108,976000.0,711.0,Processed,1500,1360321
FT640180272,2022-05-13 22:52:15,BRI,072055368,3421000.0,734.0,Need Confirmation,0,4590078
FT020676072,2022-08-04 05:31:30,BRI,086070669,3358000.0,669.0,Success,1500,5346849
FT920580907,2022-05-09 06:32:21,Gopay,059209399,877000.0,116.0,Checking,0,7614367
FT387958126,2023-07-06 16:14:21,Mandiri,015579733,2487000.0,352.0,Processed,1500,3729063
FT346959813,2022-04-12 16:44:50,Muamalat,128215829,4822000.0,938.0,Success,0,3170865
FT873152827,2022-08-18 23:03:08,BNI,046394932,1612000.0,592.0,Checking,0,2113093
FT023871527,2023-12-10 06:02:14,JAGO,111231263,2255000.0,304.0,Checking,0,7614367
FT203215531,2022-02-01 03:21:34,Maybank,096044779,525000.0,391.0,Cancelled,1500,8176980
FT958998887,2023-09-07 03:17:23,Muamalat,096056767,307000.0,53.0,Cancelled,0,2319026
FT964826563,2022-03-12 02:33:20,JAGO,097569664,1362000.0,190.0,Need Confirmation,0,8952856
FT542736235,2022-02-16 07:26:10,LinkAja,046111568,3926000.0,355.0,Failed,1500,5761901
FT030974104,2022-05-27 18:21:42,BSI,107930701,4064000.0,201.0,Processed,0,2777877
FT437171642,2022-10-07 12:28:06,LinkAja,057332886,2932000.0,734.0,Failed,1500,2210000
FT233195810,2023-09-24 02:42:38,LinkAja,100456907,3585000.0,752.0,Checking,0,1572750
FT558655439,2023-05-05 11:20:50,Seabank,101797115,202000.0,654.0,Need Confirmation,1500,4537027
FT829912757,2022-02-13 14:57:02,BCA,091968009,4626000.0,627.0,Cancelled,0,7898268
FT246311972,2022-10-18 14:55:02,Dana,062553210,1385000.0,244.0,Cancelled,1500,2752890
FT139331685,2022-06-12 04:58:53,Maybank,051850937,1173000.0,909.0,Failed,0,2651524
FT743703396,2023-12-06 18:58:48,Permata,103253194,2168000.0,751.0,Need Confirmation,1500,4294984
FT786813017,2023-07-11 13:41:50,BJB,129902801,4748000.0,779.0,Cancelled,1500,1847436
FT869475000,2023-02-10 13:05:56,BRI,026293244,1405000.0,383.0,Checking,1500,8088490
FT394064135,2022-07-06 02:16:17,Muamalat,035971544,4098000.0,765.0,Processed,1500,9444680
FT225095525,2023-02-19 16:38:37,Gopay,104302811,713000.0,362.0,Success,0,7265557
FT026782597,2022-09-17 11:07:08,BNI,079741060,3459000.0,188.0,Need Confirmation,1500,1968560
FT340251473,2022-07-14 21:50:15,BSI,120600762,4733000.0,289.0,Checking,0,2348677
FT763638992,2023-01-08 19:58:15,Mandiri,108802061,3883000.0,885.0,Processed,1500,7898268
FT069061932,2023-07-08 01:26:41,Mandiri,032075854,3638000.0,590.0,Success,1500,6108756
FT304639562,2022-12-25 06:45:25,Seabank,033021690,405000.0,666.0,Failed,1500,7924978
FT963197920,2023-07-14 04:06:40,Ovo,112241760,182000.0,460.0,Cancelled,0,3513847
FT605884609,2023-09-23 11:43:24,Seabank,117004591,2828000.0,178.0,Cancelled,1500,3904182
FT913229815,2022-10-24 19:52:06,BJB,121690195,3992000.0,902.0,Need Confirmation,1500,4590078
FT965704226,2023-03-11 19:33:05,Ovo,057014764,3775000.0,869.0,Cancelled,1500,4614393
FT176910317,2023-01-17 23:29:52,Mandiri,026594008,2906000.0,548.0,Cancelled,0,2651524
FT589701111,2022-12-17 17:09:28,Seabank,049340268,81000.0,639.0,Checking,0,9701100
FT627743966,2023-02-23 05:44:49,JAGO,058588914,1285000.0,338.0,Processed,0,9514456
FT797821675,2023-01-29 06:53:47,Permata,075236090,1513000.0,124.0,Checking,0,2113093
FT481745775,2022-01-12 05:58:54,BCA,020265935,2386000.0,695.0,Failed,1500,8088490
FT207982450,2022-01-08 04:24:17,BSI,076576296,4627000.0,907.0,Success,1500,3729063
FT605746404,2023-04-12 15:58:08,Seabank,061004391,817000.0,60.0,Need Confirmation,0,3703203
FT383474796,2022-02-21 17:48:12,Seabank,010220867,4167000.0,477.0,Checking,1500,5977126
FT962799720,2023-02-11 01:14:20,Seabank,051343253,4736000.0,232.0,Success,1500,9187881
FT191590750,2022-11-12 19:39:02,JAGO,080585707,942000.0,772.0,Processed,0,8852173
FT435894730,2022-07-28 20:59:17,LinkAja,066022909,4327000.0,286.0,Success,1500,6719181
FT765409507,2023-08-11 07:40:09,Mandiri,128001619,3642000.0,346.0,Cancelled,1500,4696083
FT463984178,2022-03-16 23:10:21,BRI,081912104,796000.0,842.0,Success,0,2651524
FT626796682,2022-07-21 09:00:04,Shopeepay,072720978,4726000.0,178.0,Need Confirmation,1500,4696083
FT471752178,2023-11-18 19:36:20,Ovo,044684314,3916000.0,652.0,Failed,1500,1360321
FT223183240,2023-04-18 16:35:03,BRI,070031711,3997000.0,716.0,Failed,1500,1360321
FT257865315,2023-12-12 11:51:49,BSI,097661892,3810000.0,91.0,Processed,0,7011894
FT031322918,2022-10-21 23:48:32,Ovo,052043934,719000.0,473.0,Processed,0,2752890
FT343411441,2023-08-17 04:56:52,JAGO,045639067,363000.0,400.0,Processed,1500,2707415
FT607810084,2022-03-01 13:22:33,Seabank,117055236,5000000.0,915.0,Need Confirmation,0,3729063
FT274135669,2023-07-15 07:51:41,LinkAja,023930636,2821000.0,133.0,Cancelled,1500,3277636
FT467501410,2022-10-07 08:04:01,BNI,087093360,1171000.0,109.0,Success,0,2752890
FT612754744,2022-04-24 09:56:35,JAGO,059803041,4678000.0,759.0,Cancelled,1500,5761901
FT876964555,2023-05-29 06:15:57,Dana,089497401,3740000.0,501.0,Success,0,9514456
FT358750734,2023-03-18 09:10:30,JAGO,057605856,2580000.0,963.0,Processed,0,1794229
FT265894129,2022-09-03 11:44:09,Permata,094876279,1183000.0,397.0,Checking,0,3594704
FT969879773,2023-07-09 23:58:54,BRI,121328467,1475000.0,875.0,Success,1500,5701323
FT890116020,2022-05-19 13:39:10,JAGO,099725134,2112000.0,314.0,Success,1500,5977126
FT967110113,2022-11-06 14:44:31,Dana,111732830,1312000.0,739.0,Need Confirmation,0,1849092
FT124415461,2022-10-07 13:31:36,Gopay,018314717,2073000.0,549.0,Need Confirmation,0,2210000
FT652896427,2022-04-11 19:43:06,JAGO,054983652,1216000.0,262.0,Processed,1500,6386595
FT077775683,2023-02-08 19:03:19,Maybank,095609937,634000.0,140.0,Failed,0,4299271
FT677097691,2022-12-02 01:02:35,Permata,109915009,1145000.0,566.0,Cancelled,0,9187881
FT933886158,2022-07-10 21:32:20,Gopay,113631926,4588000.0,185.0,Failed,0,3594704
FT103706805,2023-03-18 07:27:21,Maybank,112244767,3945000.0,702.0,Need Confirmation,0,7614367
FT309480959,2023-08-11 11:05:48,JAGO,083819205,2211000.0,491.0,Processed,1500,8088490
FT490340649,2022-05-20 22:09:23,LinkAja,095501705,1776000.0,407.0,Need Confirmation,1500,8852173
FT523134166,2023-09-30 08:46:02,Mandiri,060732237,1230000.0,587.0,Cancelled,1500,7142768
FT877708321,2022-02-10 01:11:34,LinkAja,080507992,4269000.0,473.0,Cancelled,1500,2319026
FT302664595,2023-08-20 02:15:43,JAGO,100500510,2368000.0,922.0,Checking,1500,4696083
FT352756541,2022-03-31 15:55:59,Seabank,047850530,2751000.0,453.0,Failed,0,2651524
FT268341746,2022-12-16 19:06:03,Maybank,074942369,4499000.0,249.0,Failed,1500,9190387
FT450489198,2023-06-03 00:05:47,Dana,089571877,3535000.0,665.0,Cancelled,1500,2210000
FT408935886,2022-01-19 19:34:04,JAGO,037295215,3670000.0,923.0,Checking,0,9187881
FT868696506,2023-06-06 22:03:41,Dana,068681607,1640000.0,134.0,Checking,0,2319026
FT117609919,2022-08-22 13:37:36,Shopeepay,118179441,490000.0,312.0,Cancelled,1500,4537027
FT715935304,2022-07-09 18:43:28,Seabank,022530105,4959000.0,678.0,Processed,1500,6234034
FT054004359,2022-06-01 14:47:51,BCA,128705067,2887000.0,72.0,Need Confirmation,1500,8088490
FT057372409,2022-09-23 21:55:50,Mandiri,029463903,4510000.0,284.0,Processed,1500,7834572
FT948455216,2022-10-22 02:27:15,Dana,026332011,2684000.0,808.0,Need Confirmation,0,6550322
FT214793146,2023-06-25 11:32:03,Permata,129601733,3281000.0,764.0,Need Confirmation,1500,3277636
FT885361836,2023-04-20 22:14:58,BNI,037471107,1084000.0,405.0,Cancelled,0,3729063
FT354684559,2023-09-03 18:07:30,Maybank,073738435,2836000.0,265.0,Failed,1500,1352128
FT243681902,2023-03-16 01:56:22,Gopay,020256876,2538000.0,832.0,Need Confirmation,1500,4909543
FT365440996,2023-04-20 12:13:55,JAGO,045152476,3844000.0,957.0,Need Confirmation,1500,2398427
FT015886023,2023-11-13 16:47:15,BRI,059390305,1895000.0,747.0,Checking,1500,7614367
FT100307445,2023-01-23 02:53:46,Permata,042883971,4895000.0,734.0,Processed,1500,3458256
FT973209515,2023-02-07 07:29:00,BCA,061465862,41000.0,714.0,Need Confirmation,0,9514456
FT228732525,2022-10-27 16:55:44,BSI,128215133,2091000.0,974.0,Success,1500,6404873
FT757094085,2023-07-24 16:05:31,Shopeepay,093816939,287000.0,540.0,Failed,0,5761901
FT093305426,2023-11-05 16:53:56,BSI,115995039,1052000.0,91.0,Checking,1500,9187881
FT224282003,2023-08-08 04:17:54,Muamalat,022204240,3230000.0,745.0,Cancelled,1500,3984110
FT492064217,2022-08-16 17:53:23,BNI,100741942,4157000.0,921.0,Cancelled,0,1565475
FT096672637,2023-11-13 22:14:52,BSI,043788350,2617000.0,158.0,Need Confirmation,0,5701323
FT976638576,2022-03-22 03:13:42,Gopay,046083421,3583000.0,467.0,Failed,0,9514456
FT476485813,2023-11-09 09:05:49,Ovo,017960829,1010000.0,810.0,Cancelled,0,1565475
FT034926096,2023-08-26 15:34:28,Seabank,033870582,4710000.0,149.0,Need Confirmation,1500,2398427
FT124293197,2022-02-17 17:04:10,BSI,034825086,1493000.0,625.0,Success,0,6794567
FT432009869,2023-08-20 00:34:16,JAGO,022932004,519000.0,342.0,Cancelled,1500,5761901
FT548347037,2023-11-11 01:15:13,Dana,121387547,3043000.0,367.0,Cancelled,0,3905860
FT279983773,2022-02-11 10:37:26,LinkAja,051933728,1547000.0,687.0,Need Confirmation,0,7677519
FT596891373,2023-06-05 11:49:24,BJB,092064834,3562000.0,344.0,Processed,0,9160089
FT199889272,2022-08-10 03:48:55,BCA,120287787,67000.0,375.0,Processed,1500,3703203
FT744038894,2022-11-02 21:48:11,JAGO,075631352,2732000.0,96.0,Processed,0,2065198
FT893341118,2022-06-04 10:08:59,BJB,094378900,679000.0,225.0,Processed,1500,3710530
FT223421431,2023-07-21 11:54:54,Permata,047640481,1712000.0,499.0,Need Confirmation,0,3592967
FT549239450,2023-09-28 17:09:23,BNI,113742789,597000.0,381.0,Failed,1500,3277636
FT974294412,2023-06-15 00:42:33,Permata,051709046,3054000.0,698.0,Success,0,1968560
FT589232497,2023-05-22 13:33:30,Seabank,088808703,4628000.0,516.0,Need Confirmation,0,7962314
FT165094583,2022-06-27 07:00:41,JAGO,065414398,2347000.0,888.0,Cancelled,0,3905860
FT740311520,2023-08-06 10:31:44,BNI,019507743,403000.0,409.0,Processed,1500,2651524
FT159135030,2022-04-11 12:54:42,Ovo,099321156,2830000.0,658.0,Failed,0,5701323
FT247571756,2022-06-05 00:26:10,Shopeepay,106711992,2186000.0,71.0,Processed,0,2393555
FT234344922,2022-10-16 05:39:04,Mandiri,028313944,4965000.0,702.0,Failed,0,3594704
FT713092835,2022-09-17 01:26:38,LinkAja,068508777,314000.0,470.0,Failed,0,8991607
